open	close	type	description	rev	user
03/12/17	03/15/17	done	generate mesh and texture	1.0.00.001	
03/15/17	03/15/17	done	export PLY file	1.0.00.001	
03/16/17	03/16/17	done	generate inner wall	1.0.00.001	
03/17/17	03/17/17	done	wall ripple	1.0.00.001	
03/21/17	03/21/17	done	martini glass	1.0.00.001	
03/22/17	03/22/17	done	animate color	1.0.00.001	
03/22/17	03/22/17	done	export image as bitmap	1.0.00.001	
03/22/17	03/22/17	done	record video as image sequence	1.0.00.001	
03/22/17	03/22/17	done	full screen	1.0.00.001	
03/22/17	03/24/17	done	exiting full screen mode via Esc key fails to restore MDI tabs	1.0.00.001	
03/23/17	03/24/17	done	entering full screen flickers badly; disable redraw while maximizing child frame	1.0.00.001	
03/23/17	03/24/17	done	invert stripe amplitude	1.0.00.001	
03/23/17	03/24/17	done	organize properties into groups: mesh, texture, etc.	1.0.00.001	
03/23/17	03/24/17	done	property validation	1.0.00.001	
03/23/17	03/24/17	done	properties window	1.0.00.001	
03/23/17	03/24/17	done	make MDI tabs optional	1.0.00.001	
03/23/17	03/26/17	done	add license to about box	1.0.00.001	
03/24/17	03/26/17	done	in non-tabbed MDI, maximize setting doesn't persist	1.0.00.001	
03/23/17	03/27/17	done	texture property edits needlessly recreate mesh	1.0.00.001	
03/23/17	03/27/17	done	scallops and ripples	1.0.00.001	
03/23/17	03/28/17	done	add background color property	1.0.00.001	
03/23/17	03/28/17	done	add properties for auto-rotate yaw, pitch, and roll speeds	1.0.00.001	
03/23/17	03/28/17	done	document persistence; INI file	1.0.00.001	
03/23/17	03/28/17	done	undo and redo	1.0.00.001	
03/23/17	03/28/17	done	unify exports into a single command	1.0.00.001	
03/24/17	03/28/17	done	add window cascade and tile commands for non-tabbed MDI	1.0.00.001	
03/28/17	03/28/17	done	color animation hangs app for big meshes; prevent frame timer from overflowing message queue	1.0.00.001	
03/28/17	03/28/17	done	make properties window reusable; abstract properties container	1.0.00.001	
03/23/17	03/30/17	done	edit palette	1.0.00.001	
03/30/17	03/31/17	done	if palette contains multiple instances of the same color, all are highlighted; override OnSendCommand	1.0.00.001	
03/30/17	03/31/17	done	dockable bars flicker when opening existing document, due to spurious activation; defer updates	1.0.00.001	
03/30/17	03/31/17	done	accelerators don't work if color dialog property page has focus; implement handle dlg key message	1.0.00.001	
03/30/17	03/31/17	done	in palette bar, apply button should only be enabled while new color is unapplied	1.0.00.001	
03/31/17	03/31/17	done	in palette bar's color bar, arrow keys should change selection	1.0.00.001	
03/31/17	03/31/17	done	palette bar's selected color should belong to document	1.0.00.001	
03/31/17	04/03/17	done	double-clicking a swatch in palette bar's standard color dialog should apply change immediately	1.0.00.001	
03/31/17	04/03/17	done	reorder palette entries via drag and drop	1.0.00.001	
03/31/17	04/03/17	done	in palette bar, add buttons to insert or delete palette entry	1.0.00.001	
03/31/17	04/04/17	done	full screen still shows a border; make background black to see it better	1.0.00.001	
03/23/17	04/05/17	done	options dialog for global settings	1.0.00.001	
03/28/17	04/05/17	done	STL export	1.0.00.001	
03/28/17	04/05/17	done	twist effect	1.0.00.001	
04/05/17	04/05/17	done	in palette bar, add clipboard commands and context menu	1.0.00.001	
03/28/17	04/06/17	done	optionally export vertex color instead of texture coordinates; requires bilinear interpolation	1.0.00.001	
03/23/17	04/07/17	done	texture from image file instead of palette	1.0.00.001	
04/07/17	04/08/17	done	polar texture mapping function	1.0.00.001	
03/23/17	04/09/17	done	refactor texture animation to make it fully configurable and independent of auto-rotation	1.0.00.001	
04/10/17	04/11/17	done	convert property names and descriptions to resource strings	1.0.00.001	
03/23/17	04/12/17	done	print and print preview	1.0.00.001	
04/11/17	04/12/17	done	make property expansion persistent	1.0.00.001	
04/12/17	04/13/17	done	optional custom image size for image export	1.0.00.001	
03/23/17	04/15/17	done	optional record to PNG instead of BMP; slower but conserves disk space	1.0.00.001	
03/24/17	04/15/17	done	record dialog	1.0.00.001	
03/24/17	04/16/17	done	record status dialog	1.0.00.001	
03/23/17	04/17/17	done	optional descriptions in properties bar	1.0.00.001	
